TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
MINUS|TEE3|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TEE3 11/12/2022|34277|HARIAN
HEADER|TICL|2022-12-11|40250000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TICL|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TICL 11/12/2022|32285|HARIAN
HEADER|T4EA|2022-12-11|33000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T4EA|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T4EA 11/12/2022|31725|HARIAN
HEADER|T37X|2022-12-11|14450000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T37X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T37X 11/12/2022|30050|HARIAN
HEADER|T01X|2022-12-11|20650000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T01X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T01X 11/12/2022|29400|HARIAN
HEADER|T31X|2022-12-11|24050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T31X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T31X 11/12/2022|27422|HARIAN
HEADER|T38U|2022-12-11|48700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T38U|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T38U 11/12/2022|26425|HARIAN
HEADER|T2SD|2022-12-11|17950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T2SD|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T2SD 11/12/2022|24200|HARIAN
HEADER|TX75|2022-12-11|29700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX75|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX75 11/12/2022|20778|HARIAN
HEADER|TFF0|2022-12-11|27550000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TFF0|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TFF0 11/12/2022|19400|HARIAN
HEADER|TX22|2022-12-11|22300000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX22|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX22 11/12/2022|18500|HARIAN
HEADER|T70X|2022-12-11|22050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T70X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T70X 11/12/2022|18425|HARIAN
HEADER|T62X|2022-12-11|46900000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T62X|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T62X 11/12/2022|17150|HARIAN
HEADER|T26I|2022-12-11|13700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T26I|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T26I 11/12/2022|12700|HARIAN
HEADER|T812|2022-12-11|28350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T812|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T812 11/12/2022|7554|HARIAN
HEADER|TU52|2022-12-11|24400000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU52|2022-12-11|Biaya Bank|2022-12-11|Biaya Bank TU52 11/12/2022|4190|HARIAN
HEADER|TE6T|2022-12-11|30150000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TE6T|2022-12-11|Biaya Bank|2022-12-11|Biaya Bank TE6T 11/12/2022|1675|HARIAN
HEADER|FDJG|2022-12-09|21200000|BANK BCA|4451271525|2022-12-12|SS1
HEADER|FDJG|2022-12-09|17150000|BANK BCA|4451271525|2022-12-12|SS2
MINUS|FDJG|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FDJG 09/12/2022|76244|SS2
HEADER|FDJG|2022-12-10|20950000|BANK BCA|4451271525|2022-12-12|SS1
HEADER|FDJG|2022-12-10|7200000|BANK BCA|4451271525|2022-12-12|SS2
MINUS|FDJG|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FDJG 10/12/2022|111460|SS2
HEADER|FDJG|2022-12-11|26750000|BANK BCA|4451271525|2022-12-12|SS1
HEADER|FDJG|2022-12-11|10200000|BANK BCA|4451271525|2022-12-12|SS2
MINUS|FDJG|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FDJG 11/12/2022|99104|SS2
HEADER|FYPS|2022-12-09|16050000|BANK BCA|4451270693|2022-12-09|SS1
HEADER|FYPS|2022-12-09|20050000|BANK BCA|4451270693|2022-12-12|SS2
MINUS|FYPS|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FYPS 09/12/2022|645300|SS2
HEADER|FYPS|2022-12-10|19200000|BANK BCA|4451270693|2022-12-12|SS1
HEADER|FYPS|2022-12-10|26800000|BANK BCA|4451270693|2022-12-12|SS2
MINUS|FYPS|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FYPS 10/12/2022|20128|SS2
HEADER|FYPS|2022-12-11|22100000|BANK BCA|4451270693|2022-12-12|SS1
HEADER|FYPS|2022-12-11|31150000|BANK BCA|4451270693|2022-12-12|SS2
MINUS|FYPS|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  FYPS 11/12/2022|54700|SS2
HEADER|T515|2022-12-09|7350000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|T515|2022-12-09|12750000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|T515|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T515 09/12/2022|114800|SS2
HEADER|T515|2022-12-10|5400000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|T515|2022-12-10|10750000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|T515|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T515 10/12/2022|52787|SS2
HEADER|T515|2022-12-11|9200000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|T515|2022-12-11|12050000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|T515|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  T515 11/12/2022|86000|SS2
HEADER|TCN5|2022-12-09|5450000|BANK BCA|4456377777|2022-12-09|SS1
HEADER|TCN5|2022-12-09|17650000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TCN5|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TCN5 09/12/2022|8433|SS2
HEADER|TCN5|2022-12-10|10850000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TCN5|2022-12-10|16650000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TCN5|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TCN5 10/12/2022|23175|SS2
HEADER|TCN5|2022-12-11|5700000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TCN5|2022-12-11|11400000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TCN5|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TCN5 11/12/2022|1283875|SS2
HEADER|TX23|2022-12-09|4250000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TX23|2022-12-09|17950000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX23|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX23 09/12/2022|96800|SS2
HEADER|TX23|2022-12-10|15700000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TX23|2022-12-10|11000000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX23|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX23 10/12/2022|59025|SS2
HEADER|TX23|2022-12-11|12350000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TX23|2022-12-11|10400000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX23|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX23 11/12/2022|72154|SS2
HEADER|TX37|2022-12-09|9050000|BANK BCA|4456377777|2022-12-09|SS1
HEADER|TX37|2022-12-09|22100000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX37|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX23 09/12/2022|59650|SS2
HEADER|TX37|2022-12-10|23700000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TX37|2022-12-10|15250000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX37|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX23 10/12/2022|66059|SS2
HEADER|TX37|2022-12-11|10250000|BANK BCA|4456377777|2022-12-12|SS1
HEADER|TX37|2022-12-11|14650000|BANK BCA|4456377777|2022-12-12|SS2
MINUS|TX37|2022-12-11|Potongan Lain - lain |2022-12-11|Potongan Lain - lain  TX23 11/12/2022|67766|SS2
