TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
HEADER|FU4V|2022-11-01|38038100|BANK BCA|7935434866|2022-11-02|HARIAN
HEADER|T1MH|2022-10-29|35546400|BANK BCA|7935211441|2022-10-31|HARIAN
MINUS|FU4V|2022-11-01|Potongan RRAK|2022-11-01|Potongan RRAK FU4V 01/11/2022|500000|HARIAN
